DAZ    	  121697	 CCH4   	  258057	  0.39674
DAZ    	  121733	 CCH4   	  261716	  0.37762
DAZ    	  121736	 CCH4   	  233264	  0.39217
DAZ    	  121751	 CCH4   	  239921	  0.40237
DAZ    	  121772	 CCH4   	  138141	  0.40361
DAZ    	  121787	 CCH4   	  209429	  0.40237
DAZ    	  121898	 CCH4   	  209828	  0.40075
DAZ    	  121913	 CCH4   	  226250	  0.37590
DAZ    	  121952	 CCH4   	  191554	  0.38445
DAZ    	  121967	 CCH4   	  242917	  0.41449
DAZ    	  121988	 CCH4   	  187764	  0.40829
DAZ    	  122006	 CCH4   	  128432	  0.39408
DAZ    	  122039	 CCH4   	  141494	  0.39774
DAZ    	  122168	 CCH4   	  166299	  0.39875
DAZ    	  122258	 CCH4   	  248891	  0.40150
DAZ    	  122435	 CCH4   	  231848	  0.39737
DAZ    	  122543	 CCH4   	  187303	  0.39762
DAZ    	  122561	 CCH4   	  251859	  0.41413
DAZ    	  122579	 CCH4   	  253623	  0.40645
DAZ    	  122615	 CCH4   	  141218	  0.38419
DAZ    	  122633	 CCH4   	  158054	  0.41231
DAZ    	  122636	 CCH4   	  237465	  0.37590
DAZ    	  122672	 CCH4   	  184943	  0.39937
DAZ    	  122708	 CCH4   	  170462	  0.37908
DAZ    	  122780	 CCH4   	  171983	  0.40866
DAZ    	  122795	 CCH4   	  125917	  0.40706
DAZ    	  122816	 CCH4   	  163836	  0.40137
DAZ    	  122831	 CCH4   	  128825	  0.41473
DAZ    	  122975	 CCH4   	  180433	  0.39975
DAZ    	  123032	 CCH4   	  203772	  0.41388
DAZ    	  123068	 CCH4   	  235566	  0.41352
DAZ    	  123158	 CCH4   	  242072	  0.38794
DAZ    	  123212	 CCH4   	  256263	  0.38691
DAZ    	  123227	 CCH4   	  165314	  0.39102
DAZ    	  123248	 CCH4   	  155150	  0.38549
DAZ    	  123335	 CCH4   	  155486	  0.38794
DAZ    	  123353	 CCH4   	  210488	  0.40162
DAZ    	  123374	 CCH4   	  155005	  0.41316
DAZ    	  123497	 CCH4   	  135284	  0.38846
DAZ    	  123641	 CCH4   	  145403	  0.37537
DAZ    	  123695	 CCH4   	  181142	  0.40075
DAZ    	  123716	 CCH4   	  217262	  0.38066
DAZ    	  123749	 CCH4   	  257216	  0.40274
DAZ    	  123767	 CCH4   	  133416	  0.40546
DAZ    	  123821	 CCH4   	  178238	  0.39560
DAZ    	  123932	 CCH4   	  180096	  0.39611
DAZ    	  123965	 CCH4   	  175586	  0.41340
DAZ    	  124058	 CCH4   	  143928	  0.41255
DAZ    	  124073	 CCH4   	  143915	  0.40423
DAZ    	  124166	 CCH4   	  207045	  0.39459
DAZ    	  124181	 CCH4   	  206982	  0.39737
DAZ    	  124184	 CCH4   	  126555	  0.37974
DAZ    	  124235	 CCH4   	  202494	  0.40050
DAZ    	  124343	 CCH4   	  204411	  0.41049
DAZ    	  124397	 CCH4   	  135817	  0.40237
DAZ    	  124400	 CCH4   	  223197	  0.38536
DAZ    	  124418	 CCH4   	  154653	  0.40951
DAZ    	  124436	 CCH4   	  146470	  0.39102
DAZ    	  124451	 CCH4   	  256154	  0.40410
DAZ    	  124454	 CCH4   	  137522	  0.40534
DAZ    	  124472	 CCH4   	  214731	  0.40373
DAZ    	  124487	 CCH4   	  155699	  0.40571
DAZ    	  124523	 CCH4   	  219621	  0.40792
DAZ    	  124688	 CCH4   	  208441	  0.41219
DAZ    	  124739	 CCH4   	  233492	  0.39217
DAZ    	  124760	 CCH4   	  166445	  0.41097
DAZ    	  124829	 CCH4   	  161986	  0.40025
DAZ    	  124832	 CCH4   	  161157	  0.40137
DAZ    	  124847	 CCH4   	  194863	  0.39026
DAZ    	  124940	 CCH4   	  170673	  0.39674
DAZ    	  125012	 CCH4   	  254962	  0.38275
DAZ    	  125048	 CCH4   	  242654	  0.41195
DAZ    	  125066	 CCH4   	  199796	  0.39294
DAZ    	  125117	 CCH4   	  158109	  0.38949
DAZ    	  125171	 CCH4   	  206296	  0.40804
DAZ    	  125174	 CCH4   	  207327	  0.39762
DAZ    	  125246	 CCH4   	  240405	  0.40460
DAZ    	  125264	 CCH4   	  185080	  0.40608
DAZ    	  262223	 CCH4   	  164670	  0.41219
DAZ    	  262334	 CCH4   	  260396	  0.39975
DAZ    	  262565	 CCH4   	  157946	  0.38691
DAZ    	  262673	 CCH4   	  189657	  0.40669
