DAZ    	  283989	 CCH3   	  100834	  0.39446
DAZ    	  284012	 CCH3   	  117546	  0.37815
DAZ    	  284049	 CCH3   	  105396	  0.40817
DAZ    	  284109	 CCH3   	   75874	  0.38884
DAZ    	  284122	 CCH3   	   90780	  0.40719
DAZ    	  284132	 CCH3   	   64690	  0.40262
DAZ    	  284142	 CCH3   	   69822	  0.41243
DAZ    	  284149	 CCH3   	   43764	  0.40162
DAZ    	  284162	 CCH3   	   53602	  0.39509
DAZ    	  284169	 CCH3   	   58488	  0.39862
DAZ    	  284172	 CCH3   	   13430	  0.40509
DAZ    	  284182	 CCH3   	  102972	  0.40620
DAZ    	  284222	 CCH3   	   18836	  0.40373
DAZ    	  284232	 CCH3   	   47588	  0.40755
DAZ    	  284239	 CCH3   	   47596	  0.40571
DAZ    	  284262	 CCH3   	    5040	  0.41388
DAZ    	  284269	 CCH3   	  116944	  0.37550
DAZ    	  284279	 CCH3   	   56684	  0.40212
DAZ    	  284282	 CCH3   	   45100	  0.40274
DAZ    	  284309	 CCH3   	    5352	  0.39674
DAZ    	  284312	 CCH3   	   17188	  0.39737
DAZ    	  284319	 CCH3   	  105048	  0.40274
DAZ    	  284359	 CCH3   	   46498	  0.39812
DAZ    	  284392	 CCH3   	   99206	  0.38105
DAZ    	  284399	 CCH3   	   36694	  0.38288
DAZ    	  284402	 CCH3   	   82062	  0.39937
DAZ    	  284459	 CCH3   	  119172	  0.41097
DAZ    	  284509	 CCH3   	  109606	  0.39862
DAZ    	  284519	 CCH3   	   84064	  0.40361
DAZ    	  284659	 CCH3   	   48698	  0.40706
DAZ    	  284672	 CCH3   	   13242	  0.39294
DAZ    	  284742	 CCH3   	   75134	  0.41304
DAZ    	  121682	 C2H4   	  128041	  0.38601
DAZ    	  121689	 C2H4   	  244214	  0.39306
DAZ    	  121692	 C2H4   	  186901	  0.39812
DAZ    	  121709	 C2H4   	  220022	  0.41413
DAZ    	  121712	 C2H4   	  194859	  0.39319
DAZ    	  121719	 C2H4   	  173255	  0.39674
DAZ    	  121729	 C2H4   	  164181	  0.39825
DAZ    	  121732	 C2H4   	  275006	  0.41012
DAZ    	  121742	 C2H4   	  239580	  0.40719
DAZ    	  121749	 C2H4   	  200821	  0.40012
DAZ    	  121752	 C2H4   	  226682	  0.40534
DAZ    	  121769	 C2H4   	  127075	  0.39459
DAZ    	  121782	 C2H4   	  192786	  0.41122
DAZ    	  121799	 C2H4   	  133626	  0.41122
DAZ    	  121802	 C2H4   	  142547	  0.40620
DAZ    	  121822	 C2H4   	  161144	  0.40620
DAZ    	  121829	 C2H4   	  216968	  0.40175
DAZ    	  121832	 C2H4   	  237670	  0.39900
DAZ    	  121839	 C2H4   	  264869	  0.37537
DAZ    	  121852	 C2H4   	  251682	  0.41024
DAZ    	  121862	 C2H4   	  149562	  0.40112
DAZ    	  121869	 C2H4   	  234057	  0.41304
DAZ    	  121872	 C2H4   	  193640	  0.39711
DAZ    	  121882	 C2H4   	  266565	  0.39611
DAZ    	  121889	 C2H4   	  180563	  0.39357
DAZ    	  121922	 C2H4   	  276389	  0.40719
DAZ    	  121932	 C2H4   	  126053	  0.40162
DAZ    	  121962	 C2H4   	  184890	  0.40200
DAZ    	  121982	 C2H4   	  133578	  0.39812
DAZ    	  121989	 C2H4   	  216440	  0.40125
DAZ    	  122012	 C2H4   	  238451	  0.39332
DAZ    	  122019	 C2H4   	  178094	  0.39975
DAZ    	  122042	 C2H4   	  245642	  0.40423
DAZ    	  122052	 C2H4   	  200030	  0.41097
DAZ    	  122059	 C2H4   	  205713	  0.41097
DAZ    	  122062	 C2H4   	  195730	  0.41255
DAZ    	  122069	 C2H4   	  215545	  0.40657
DAZ    	  122072	 C2H4   	  227819	  0.41449
DAZ    	  122079	 C2H4   	  126484	  0.41158
DAZ    	  122082	 C2H4   	  231694	  0.39472
DAZ    	  122089	 C2H4   	  199744	  0.39875
DAZ    	  122102	 C2H4   	  130390	  0.40902
DAZ    	  122109	 C2H4   	  254663	  0.40534
DAZ    	  122112	 C2H4   	  248491	  0.38406
DAZ    	  122119	 C2H4   	  266921	  0.41110
DAZ    	  122122	 C2H4   	  166024	  0.40522
DAZ    	  122129	 C2H4   	  160625	  0.40150
DAZ    	  122132	 C2H4   	  156855	  0.38962
DAZ    	  122169	 C2H4   	  148768	  0.40460
DAZ    	  122189	 C2H4   	  214520	  0.40804
DAZ    	  122192	 C2H4   	  139547	  0.40237
DAZ    	  122209	 C2H4   	  198483	  0.40866
DAZ    	  122212	 C2H4   	  198356	  0.41061
DAZ    	  122219	 C2H4   	  161221	  0.40902
DAZ    	  122222	 C2H4   	  234722	  0.40706
DAZ    	  122232	 C2H4   	  243209	  0.38013
DAZ    	  122239	 C2H4   	  155706	  0.38601
DAZ    	  122282	 C2H4   	  264529	  0.38678
DAZ    	  122289	 C2H4   	  143664	  0.38510
DAZ    	  122292	 C2H4   	  215328	  0.38717
DAZ    	  122309	 C2H4   	  228783	  0.41316
DAZ    	  122319	 C2H4   	  191920	  0.39000
DAZ    	  122339	 C2H4   	  163096	  0.41425
DAZ    	  122359	 C2H4   	  129172	  0.40460
DAZ    	  122372	 C2H4   	  191542	  0.39962
DAZ    	  122379	 C2H4   	  236774	  0.40522
DAZ    	  122412	 C2H4   	  133140	  0.39154
DAZ    	  122419	 C2H4   	  190298	  0.41195
DAZ    	  122422	 C2H4   	  223920	  0.38288
DAZ    	  122429	 C2H4   	  132018	  0.41304
DAZ    	  122439	 C2H4   	  142328	  0.40112
